Neighbourhood,longitude,latitude,Nearest_tourist_place,Nearest_tourist_dist,Nearest_metro,Nearest_metro_dist,walking_tourist_dist,walking_metro_dist,number_hotels,average_price,average_stars,number_airbnb_listing,average_airbnb_price
Adachi Ku           ,139.8044129,35.775017,Kappabashi-dori,6.6635240408023835,Ayase,2.3294480022703445,9999.0,9999.0,2,8003.0,2.5,214,6728.626168224299
Akiruno Shi         ,139.2934663,35.7285903,Tokyo Metropolitan Government Building,36.33187600697821,Wakō-shi,29.61695024250955,9999.0,9999.0,0,0.0,0.0,13,4934.7692307692305
Akishima Shi        ,139.3540161,35.7059102,Tokyo Metropolitan Government Building,30.65206684620316,Ogikubo,24.077155354364447,9999.0,9999.0,0,0.0,0.0,2,3832.0
Arakawa Ku          ,139.78347580000002,35.7359339,Tokyo National Museum,1.998787826427434,Machiya,0.7260347160491639,9999.0,1.8,72,11724.972222222224,1.6805555555555556,347,13541.697406340058
Bunkyo Ku           ,139.7524369,35.7078686,Tokyo Dome,0.25219602288901666,Kōrakuen,0.0882696098312592,0.3,0.4,65,12583.415384615384,2.5384615384615383,142,21831.422535211266
Chiyoda Ku         ,139.7537719,35.6940309,Edo Castle,0.7021542412354131,Kudanshita,0.2864162608125029,0.9,0.3,89,16892.404494382023,2.8988764044943816,214,42074.7476635514
Chofu Shi           ,139.54072150000002,35.650611100000006,Yoyogi Park,14.314238296098056,Ogikubo,9.351000587342632,9999.0,9999.0,1,10282.0,1.0,14,8179.571428571428
Chuo Ku             ,139.7719892,35.67063920000001,Kabuki-za Theatre,0.3740995780427293,Shintomichō,0.13797342215764882,0.5,0.2,145,16670.841379310346,3.041379310344828,511,32824.67906066536
Edogawa Ku          ,139.8681899,35.7067011,Tokyo Skytree,5.215834477698532,Nishi-Kasai,4.744067906012045,9999.0,9999.0,5,9646.0,2.0,263,17960.77566539924
Fuchu Shi           ,139.4777247,35.6689919,Tokyo Metropolitan Government Building,19.54155892548629,Ogikubo,13.475615988075381,9999.0,9999.0,0,0.0,0.0,5,10947.6
Fussa Shi           ,139.32702350000002,35.73848920000001,Tokyo Metropolitan Government Building,33.47687651003177,Wakō-shi,26.41665542703597,9999.0,9999.0,0,0.0,0.0,4,3749.75
Hachijo Machi      ,139.78899199999998,33.1127894,Odaiba Ōedo-onsen-monogatari,277.662864404526,Meguro,279.7478063787616,9999.0,9999.0,0,0.0,0.0,7,10979.142857142857
Hachioji Shi        ,139.31600680000003,35.6664381,Tokyo Metropolitan Government Building,34.144425181170185,Ogikubo,27.846610902841753,9999.0,9999.0,0,0.0,0.0,48,43371.1875
Hamura Shi          ,139.31089440000002,35.7671888,Tokyo Metropolitan Government Building,35.545683362638286,Wakō-shi,27.402656929174015,9999.0,9999.0,0,0.0,0.0,4,6185.25
Higashikurume Shi   ,139.52976519999999,35.7579968,Tokyo Metropolitan Government Building,16.530580981400245,Wakō-shi,8.189021146120805,9999.0,9999.0,0,0.0,0.0,4,3914.0
Higashimurayama Shi ,139.4685613,35.754598,Tokyo Metropolitan Government Building,21.471608371968323,Wakō-shi,13.54819017166734,9999.0,9999.0,0,0.0,0.0,14,6685.857142857143
Higashiyamato Shi  ,139.42665,35.7453849,Tokyo Metropolitan Government Building,24.802807658876308,Wakō-shi,17.4742904850417,9999.0,9999.0,0,0.0,0.0,1,2956.0
Hino Shi            ,139.39509750000002,35.671354,Tokyo Metropolitan Government Building,26.962888052851852,Ogikubo,20.69422269986761,9999.0,9999.0,0,0.0,0.0,17,6233.705882352941
Hinohara Mura      ,139.14886030000002,35.7268216,Tokyo Metropolitan Government Building,49.33312865702528,Wakō-shi,42.50436171008828,9999.0,9999.0,0,0.0,0.0,4,21977.75
Inagi Shi           ,139.504664,35.6381042,Yoyogi Park,17.78244326337046,Ogikubo,12.788627427540064,9999.0,9999.0,0,0.0,0.0,3,1752.0
Itabashi Ku        ,139.70927859999998,35.7512311,Rikugi-en,4.0353068947107325,Kanamechō,2.2310640561518467,9999.0,9999.0,22,9983.272727272728,1.681818181818182,324,15075.743827160493
Katsushika Ku      ,139.8472243,35.7432853,Tokyo Skytree,4.950488549879199,Ayase,2.9199580592087133,9999.0,9999.0,6,9292.666666666666,0.8333333333333334,353,13276.067988668556
Kita Ku             ,139.7337701,35.75287270000001,Rikugi-en,2.563134076075161,Ōji,0.40300107096418336,9999.0,1.2,13,14277.384615384617,1.0769230769230769,324,12778.515432098766
Kodaira Shi         ,139.4775654,35.728612700000006,Tokyo Metropolitan Government Building,19.88995135028122,Ogikubo,13.166858450127258,9999.0,9999.0,0,0.0,0.0,9,6434.777777777777
